ID,total,slight,serious,Road_name,Road_name2,h,Day_of_Week,m,Speed_limit,Junction_Detail,Junction_Control,Pedestrian_Crossing-Physical_Facilities,bikelane,aadf_Road_name,aadf_Road_category,aadf_Road_type,aadf_CLT_CARR,aadf_CLT_SEGREG,aadf_CLT_STEPP,aadf_CLT_PARSEG,aadf_CLT_SHARED,aadf_CLT_MANDAT,aadf_CLT_ADVIS,aadf_CLT_PRIORI,aadf_CLT_CONTRA,aadf_CLT_BIDIRE,aadf_CLT_CBYPAS,aadf_CLT_BBYPAS,aadf_CLT_PARKR,aadf_CLT_WATERR,aadf_CLT_PTIME,aadf_Link_length_miles,aadf_BOROUGH,aadf_Latitude,aadf_Longitude,distance_to_cp,aadf_Pedal_cycles,aadf_All_motor_vehicles,aadf_All_HGVs,aadf_LGVs,aadf_Buses_and_coaches,total_dnorm,total_dnorm_bvnorm,serious_ratio,N_year,Year_start,Year_end,Max_year_gap
58,36668,82,70,12,A107,U,17,4,7,30,3,4,0,True,A107,PA,Major,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,1.37,Hackney,51.565832454,-0.060164643,0.21947993037278227,350.0731707317073,22636.475609756097,721.5731707317074,3063.9146341463415,1005.0731707317074,49.60163592163843,33.01361582661548,0.14634146341463414,22,2000,2021,1
59,6752,81,73,8,A202,U,8,3,9,30,3,4,0,True,A202,PA,Major,True,False,False,False,True,True,True,True,False,False,False,False,False,False,True,0.56,Southwark,51.473436195,-0.057607008,0.08500625497279829,1657.8148148148148,23478.85185185185,964.925925925926,3831.4074074074074,1620.0246913580247,126.50599219064038,17.779969099692114,0.09876543209876543,22,2000,2021,1
60,8064,81,70,11,A102,U,9,3,10,30,3,4,0,False,A102,PA,Major,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.99,NA,51.548923549,-0.039969937,0.2101768653353466,528.925925925926,23617.14814814815,715.5679012345679,3873.9135802469136,968.3827160493827,51.16548203621857,22.539181254103426,0.13580246913580246,22,2000,2021,1
61,16854,81,70,11,A308,U,8,4,5,30,3,4,0,True,A308,PA,Major,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.12,Kensington & Chelsea,51.491643004,-0.172075339,0.23170450572847143,1480.9012345679012,20624.0987654321,592.5802469135803,2446.3703703703704,1164.2345679012346,46.41170267248281,7.302260589879104,0.13580246913580246,22,2000,2021,1
62,16100,80,67,13,A3,A3,9,2,9,30,1,4,0,True,A3,PA,Major,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,0.12,Southwark,51.496160443,-0.099861364,0.05376641626078742,2046.2125,16638.1625,595.55,2747.7375,2971.8125,197.54036805271656,22.493707645849565,0.1625,22,2000,2021,1
63,36946,80,69,11,A315,U,8,4,7,30,3,4,0,False,A315,PA,Major,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.68,NA,51.498558933,-0.200613288,0.13068880362478652,3354.7875,24526.6375,616.2125,2806.8625,1564.05,81.26968311321444,5.644421938909384,0.1375,22,2000,2021,1
64,6757,79,71,8,A205,U,8,6,3,30,3,4,0,True,A205,PA,Major,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,0.68,Wandsworth,51.458946197,-0.209369,0.2066803660297075,1041.9620253164558,19651.493670886077,786.0379746835443,2721.9493670886077,535.367088607595,50.746352388456046,11.347726519034323,0.10126582278481013,22,2000,2021,1
65,47661,79,58,21,A3211,na0,19,4,7,30,3,2,5,True,A3211,PA,Major,True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,0.37,Westminster,51.503914292,-0.123458009,0.14147252223940807,3263.7974683544303,26863.835443037973,1136.6962025316457,4121.430379746836,700.6962025316456,74.1364790865165,5.29254642625469,0.26582278481012656,22,2000,2021,1
66,36076,79,74,5,A1,U,9,4,4,30,3,4,0,True,A1,PA,Major,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,0.31,Islington,51.534195343,-0.105198844,0.08067847458547953,4786.151898734177,24028.772151898735,916.4050632911392,3641.721518987342,3012.3797468354433,130.00090470483798,6.328719070583257,0.06329113924050633,22,2000,2021,1
67,16867,78,73,5,A315,U,19,4,5,30,3,4,0,True,A315,PA,Major,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,0.5,Hounslow,51.492508236,-0.258472873,0.12332175936082063,1253.474358974359,16083.21794871795,508.6666666666667,1843.474358974359,1252.4871794871794,83.97148864303078,15.60890074355833,0.0641025641025641,22,2000,2021,1
