Count_point_id,N_year,Year_start,Year_end,Max_year_gap
336,1200,22,2000,2021,1
337,1201,22,2000,2021,1
338,1202,22,2000,2021,1
339,1203,22,2000,2021,1
340,1204,19,2000,2018,1
341,1205,11,2000,2010,1
342,1206,22,2000,2021,1
343,1209,22,2000,2021,1
344,1210,22,2000,2021,1
345,1213,22,2000,2021,1
346,3000,22,2000,2021,1
347,6000,22,2000,2021,1
348,6001,22,2000,2021,1
349,6003,12,2000,2011,1
350,6004,22,2000,2021,1
351,6005,22,2000,2021,1
352,6006,22,2000,2021,1
353,6007,22,2000,2021,1
354,6009,22,2000,2021,1
355,6010,22,2000,2021,1
356,6012,22,2000,2021,1
357,6013,22,2000,2021,1
358,6015,22,2000,2021,1
359,6016,22,2000,2021,1
360,6017,22,2000,2021,1
361,6018,22,2000,2021,1
362,6019,22,2000,2021,1
363,6022,22,2000,2021,1
364,6023,22,2000,2021,1
365,6024,22,2000,2021,1
366,6027,22,2000,2021,1
367,6028,22,2000,2021,1
368,6029,22,2000,2021,1
369,6030,22,2000,2021,1
370,6031,17,2000,2016,1
371,6033,22,2000,2021,1
372,6034,14,2000,2013,1
373,6035,22,2000,2021,1
374,6036,22,2000,2021,1
375,6037,22,2000,2021,1
376,6039,22,2000,2021,1
377,6040,22,2000,2021,1
378,6042,22,2000,2021,1
379,6043,22,2000,2021,1
380,6045,22,2000,2021,1
381,6046,22,2000,2021,1
382,6047,22,2000,2021,1
383,6048,22,2000,2021,1
384,6051,22,2000,2021,1
385,6053,22,2000,2021,1
386,6054,22,2000,2021,1
387,6055,22,2000,2021,1
388,6056,6,2000,2005,1
389,6057,22,2000,2021,1
390,6058,22,2000,2021,1
391,6059,22,2000,2021,1
392,6061,22,2000,2021,1
393,6063,22,2000,2021,1
394,6065,22,2000,2021,1
395,6066,22,2000,2021,1
396,6067,22,2000,2021,1
397,6069,22,2000,2021,1
398,6071,22,2000,2021,1
399,6072,22,2000,2021,1
400,6073,22,2000,2021,1
401,6075,22,2000,2021,1
402,6076,22,2000,2021,1
403,6077,22,2000,2021,1
404,6078,22,2000,2021,1
405,6079,22,2000,2021,1
406,6081,20,2000,2019,1
407,6082,22,2000,2021,1
408,6083,11,2000,2010,1
409,6084,5,2000,2004,1
410,6085,22,2000,2021,1
411,6088,22,2000,2021,1
412,6089,18,2000,2017,1
413,6090,4,2000,2003,1
414,6091,17,2000,2016,1
415,6094,22,2000,2021,1
416,6095,22,2000,2021,1
417,6096,22,2000,2021,1
418,6097,22,2000,2021,1
419,6099,22,2000,2021,1
420,6102,22,2000,2021,1
421,6103,22,2000,2021,1
422,6105,22,2000,2021,1
423,6107,22,2000,2021,1
424,6108,22,2000,2021,1
425,6109,22,2000,2021,1
426,6111,22,2000,2021,1
427,6118,22,2000,2021,1
428,6119,22,2000,2021,1
429,6120,22,2000,2021,1
430,6121,22,2000,2021,1
431,6122,22,2000,2021,1
432,6123,22,2000,2021,1
433,6124,22,2000,2021,1
434,6126,22,2000,2021,1
435,6127,22,2000,2021,1
436,6129,22,2000,2021,1
437,6130,22,2000,2021,1
438,6132,22,2000,2021,1
439,6133,22,2000,2021,1
440,6134,22,2000,2021,1
441,6139,22,2000,2021,1
442,6140,22,2000,2021,1
443,6141,22,2000,2021,1
444,6142,22,2000,2021,1
445,6144,22,2000,2021,1
446,6147,22,2000,2021,1
447,6148,22,2000,2021,1
448,6149,22,2000,2021,1
449,6150,22,2000,2021,1
450,6151,16,2000,2015,1
451,6152,22,2000,2021,1
452,6153,22,2000,2021,1
453,6154,22,2000,2021,1
454,6155,17,2000,2016,1
455,6158,22,2000,2021,1
456,6160,22,2000,2021,1
457,6161,22,2000,2021,1
458,6163,19,2000,2018,1
459,6166,22,2000,2021,1
460,6167,22,2000,2021,1
461,6170,22,2000,2021,1
462,6171,22,2000,2021,1
463,6172,4,2000,2003,1
464,6173,18,2000,2017,1
465,6176,22,2000,2021,1
466,6177,22,2000,2021,1
467,6178,22,2000,2021,1
468,6179,22,2000,2021,1
469,6181,22,2000,2021,1
470,6184,5,2000,2004,1
471,6185,22,2000,2021,1
472,6186,22,2000,2021,1
473,6188,22,2000,2021,1
474,6190,22,2000,2021,1
475,6198,22,2000,2021,1
476,6199,22,2000,2021,1
477,6200,11,2000,2010,1
478,6201,22,2000,2021,1
479,6204,22,2000,2021,1
480,6206,22,2000,2021,1
481,6208,22,2000,2021,1
482,6209,22,2000,2021,1
483,6212,22,2000,2021,1
484,6213,22,2000,2021,1
485,6216,22,2000,2021,1
486,6217,18,2000,2017,1
487,6218,22,2000,2021,1
488,6222,22,2000,2021,1
489,6226,22,2000,2021,1
490,6227,22,2000,2021,1
491,6232,22,2000,2021,1
492,6233,22,2000,2021,1
493,6234,22,2000,2021,1
494,6240,22,2000,2021,1
495,6241,22,2000,2021,1
496,6242,22,2000,2021,1
497,6243,22,2000,2021,1
498,6246,22,2000,2021,1
499,6247,2,2000,2001,1
500,6248,22,2000,2021,1
501,6252,22,2000,2021,1
502,6254,22,2000,2021,1
503,6255,22,2000,2021,1
504,6258,17,2000,2016,1
505,6259,22,2000,2021,1
506,6262,22,2000,2021,1
507,6264,22,2000,2021,1
508,6266,22,2000,2021,1
509,6267,22,2000,2021,1
510,6268,22,2000,2021,1
511,6269,22,2000,2021,1
512,6273,21,2000,2020,1
513,6279,22,2000,2021,1
514,6280,22,2000,2021,1
515,6284,22,2000,2021,1
516,6286,22,2000,2021,1
517,6287,22,2000,2021,1
518,6288,22,2000,2021,1
519,6290,22,2000,2021,1
520,6292,22,2000,2021,1
521,6293,22,2000,2021,1
522,6294,22,2000,2021,1
523,6296,22,2000,2021,1
524,6297,22,2000,2021,1
525,6298,22,2000,2021,1
526,6299,22,2000,2021,1
527,6303,22,2000,2021,1
528,6304,22,2000,2021,1
529,6305,22,2000,2021,1
530,6306,22,2000,2021,1
531,6307,22,2000,2021,1
532,6309,20,2000,2019,1
533,6311,22,2000,2021,1
534,6312,22,2000,2021,1
535,6316,22,2000,2021,1
536,6317,22,2000,2021,1
537,6318,22,2000,2021,1
538,6319,22,2000,2021,1
